# Verified additions to the upstream Skretzo/shortest-path transport data.
#
# Columns (tab separated, same as the generated resource):
#   category	source	destination	label	duration	skills	quests	items	varbits	varplayers	wildernessLevel	confidence	provenance
# Trailing requirement columns may be omitted. Blank means "no requirement".
# Confidence/provenance may also be omitted here; the generator marks override rows CONFIRMED
# with provenance tools/transport-overrides.tsv by default.
#
# RULES FOR ADDING A ROW HERE
#   1. Prove the tile is blocked in collision-map.zip. A route that merely looks
#      wrong is not evidence - decode the region and read the flag.
#   2. Prove upstream has no row for it. Search the whole bounding box, not the
#      single tile, and not just for the object type you expect.
#   3. Add BOTH directions, and every tile of the opening.
#   4. Record the evidence in the comment above the rows. A future reader must be
#      able to re-check the claim without redoing the investigation.
#   5. Never invent a shortcut. Only encode a crossing that exists in game.
#
# -----------------------------------------------------------------------------
# Taverley / Falador wall gate  -  reported 2026-08-09
#
# The wall is a one-tile-thick north-south barrier on the EAST edge of x=2935,
# running y=3448..3455. Decoded from our own collision-map.zip, region 45_53:
# canMoveEast(2935, y) is false for every y in that span. The archway is the
# two-tile opening at y=3450 and y=3451 - the tiles north (y=3452+) and south
# (y=3449-) of it are solid gatehouse, and x=2936 is open eastward at both rows.
# The only thing stopping passage is the gate object on the 2935->2936 edge.
#
# Upstream carries 145 rows whose menu option mentions a Gate, so gates ARE
# modelled in general - but a search of x 2920-2955, y 3430-3475 returns ZERO
# rows of any kind. Confirmed in game by Mytharium: upstream's own Shortest Path
# detours here too, so this is an upstream data gap, not a fault in our reader.
#
# Without these rows the router walks around the whole wall, roughly doubling
# the trip between Taverley and Falador.
BASELINE	2935,3450,0	2936,3450,0	Open Gate (Taverley wall)	1
BASELINE	2936,3450,0	2935,3450,0	Open Gate (Taverley wall)	1
BASELINE	2935,3451,0	2936,3451,0	Open Gate (Taverley wall)	1
BASELINE	2936,3451,0	2935,3451,0	Open Gate (Taverley wall)	1

# -----------------------------------------------------------------------------
# Falador Castle doors  -  Route A live-proven 2026-08-10
#
# Rule 1 (blocked in our map): every row below started life as an
# OURS_BLOCKS_LIVE_OPEN mismatch - our shipped collision map refuses the step.
# Captured by the Validate Map Data toggle over three planes of Falador Castle:
#     scene 2928:3288:0  tiles=10609  mismatches=2986  (1395 we block, game allows)
#     scene 2928:3288:1  tiles=10609  mismatches=2181  ( 550 we block, game allows)
#     scene 2928:3288:2  tiles=10609  mismatches=2387  ( 301 we block, game allows)
# 2248 unique proof edges total, in .runelite\drews-map-validate.txt, copied to
# tools\route-a-live-mismatches.txt. generateTransportRows matched 10 of the 945
# ranked cache candidates against that live evidence. These are those 10.
#
# Rule 2 (upstream has no row): searched the whole bounding box x 2955-2985,
# y 3330-3348 in src\main\resources\drewshelper-transports.tsv. It returns 14
# rows, ALL of them Climb-up/Climb-down Staircase. Upstream models the castle
# staircases and not one of its doors. None of the 20 endpoint tiles below
# appears anywhere in the upstream file.
#
# Rule 3: both directions, and both tiles of each two-tile doorway.
#
# Detour cost the router pays today without these rows (A* steps, cap 512):
#   2959/2960,3334-3335,2  > 512    2960/2961,3342-3343,2  > 512
#   2964/2965,3338-3339,0    82     2970/2971,3336-3337,0    54
#   2981/2982,3340-3341,0    26
#
# Re-check: rerun generateTransportRows with route-a-live-mismatches.txt in
# place and confirm these same 10 crossings come back marked PROVEN.
BASELINE	2959,3335,2	2959,3334,2	Open Castle door	1
BASELINE	2959,3334,2	2959,3335,2	Open Castle door	1
BASELINE	2960,3335,2	2960,3334,2	Open Castle door	1
BASELINE	2960,3334,2	2960,3335,2	Open Castle door	1
BASELINE	2960,3342,2	2960,3343,2	Open Castle door	1
BASELINE	2960,3343,2	2960,3342,2	Open Castle door	1
BASELINE	2961,3342,2	2961,3343,2	Open Castle door	1
BASELINE	2961,3343,2	2961,3342,2	Open Castle door	1
BASELINE	2965,3338,0	2964,3338,0	Open Castle door	1
BASELINE	2964,3338,0	2965,3338,0	Open Castle door	1
BASELINE	2965,3339,0	2964,3339,0	Open Castle door	1
BASELINE	2964,3339,0	2965,3339,0	Open Castle door	1
BASELINE	2970,3337,0	2970,3336,0	Open Castle door	1
BASELINE	2970,3336,0	2970,3337,0	Open Castle door	1
BASELINE	2971,3337,0	2971,3336,0	Open Castle door	1
BASELINE	2971,3336,0	2971,3337,0	Open Castle door	1
BASELINE	2981,3340,0	2982,3340,0	Open Castle door	1
BASELINE	2982,3340,0	2981,3340,0	Open Castle door	1
BASELINE	2981,3341,0	2982,3341,0	Open Castle door	1
BASELINE	2982,3341,0	2981,3341,0	Open Castle door	1
